original,transformed,pagenum,position
6,6,6,-1
1,1,1,-1
5,5,5,-1
4,4,4,-1
3,3,3,-1
1,1,1,-1
2,2,2,-1
2,2,2,-1
6,6,6,-1
7,7,7,-1
4,4,4,-1
5,5,5,-1
3,3,3,-1
2,2,2,-1
Page 1 of 1,page 1 word 1 ,1,-3
"BHP Burton No. 1 Completion Report 	Page No. 4",word word word 1 word word tab page word 4 ,4,-1
"BHP Burton No. 1 Completion Report 	Page No. 1",word word word 1 word word tab page word 1 ,1,-1
"BHP Burton No. 1 Completion Report 	Page No. 3",word word word 1 word word tab page word 3 ,3,-1
"CR 10980 	Page 2",word bigNum tab page 2 ,2,-1
"CR 10980 	Page 1",word bigNum tab page 1 ,1,-1
"BHP Burton No. 1 Completion Report 	Page No. 2",word word word 1 word word tab page word 2 ,2,-1
"CR 10980 	Page 4",word bigNum tab page 4 ,4,-1
"CR 10861 	Page 1",word bigNum tab page 1 ,1,-1
"CR 10980 	Page 3",word bigNum tab page 3 ,3,-1
4,4,4,-1
"APRIL, 2009 	16",month bigNum tab 16 ,16,-1
"APRIL, 2009 	20",month bigNum tab 20 ,20,-1
"APRIL, 2009 	10",month bigNum tab 10 ,10,-1
"APRIL, 2009 	26",month bigNum tab 26 ,26,-1
"APRIL, 2009 	24",month bigNum tab 24 ,24,-1
"APRIL, 2009 	28",month bigNum tab 28 ,28,-1
"APRIL, 2009 	27",month bigNum tab 27 ,27,-1
"APRIL, 2009 	23",month bigNum tab 23 ,23,-1
"APRIL, 2009 	12",month bigNum tab 12 ,12,-1
"APRIL, 2009 	17",month bigNum tab 17 ,17,-1
"APRIL, 2009 	22",month bigNum tab 22 ,22,-1
"APRIL, 2009 	9",month bigNum tab 9 ,9,-1
"APRIL, 2009 	19",month bigNum tab 19 ,19,-1
"APRIL, 2009 	4",month bigNum tab 4 ,4,-1
"APRIL, 2009 	29",month bigNum tab 29 ,29,-1
"APRIL, 2009 	7",month bigNum tab 7 ,7,-1
"APRIL, 2009 	25",month bigNum tab 25 ,25,-1
"APRIL, 2009 	30",month bigNum tab 30 ,30,-1
"APRIL, 2009 	8",month bigNum tab 8 ,8,-1
"APRIL, 2009 	18",month bigNum tab 18 ,18,-1
"APRIL, 2009 	5",month bigNum tab 5 ,5,-1
"APRIL, 2009 	11",month bigNum tab 11 ,11,-1
"APRIL, 2009 	15",month bigNum tab 15 ,15,-1
"APRIL, 2009 	6",month bigNum tab 6 ,6,-1
"APRIL, 2009 	2",month bigNum tab 2 ,2,-1
"APRIL, 2009 	21",month bigNum tab 21 ,21,-1
"APRIL, 2009 	14",month bigNum tab 14 ,14,-1
"APRIL, 2009 	3",month bigNum tab 3 ,3,-1
"APRIL, 2009 	31",month bigNum tab 31 ,31,-1
"APRIL, 2009 	13",month bigNum tab 13 ,13,-1
Page 9,page 9 ,9,-1
Page 8,page 8 ,8,-1
"South Cockenzie Final Report 	(11)",word word word word tab 11 ,11,-1
"South Cockenzie Final Report 	(3)",word word word word tab 3 ,3,-1
"South Cockenzie Final Report 	(7)",word word word word tab 7 ,7,-1
"South Cockenzie Final Report 	(9)",word word word word tab 9 ,9,-1
"South Cockenzie Final Report 	(5)",word word word word tab 5 ,5,-1
"South Cockenzie Final Report 	(12)",word word word word tab 12 ,12,-1
"South Cockenzie Final Report 	(17)",word word word word tab 17 ,17,-1
"South Cockenzie Final Report 	(15)",word word word word tab 15 ,15,-1
"South Cockenzie Final Report 	(4)",word word word word tab 4 ,4,-1
"South Cockenzie Final Report 	(10)",word word word word tab 10 ,10,-1
"South Cockenzie Final Report 	(13)",word word word word tab 13 ,13,-1
"South Cockenzie Final Report 	(1)",word word word word tab 1 ,1,-1
"South Cockenzie Final Report 	(14)",word word word word tab 14 ,14,-1
"South Cockenzie Final Report 	(22)",word word word word tab 22 ,22,-1
"South Cockenzie Final Report 	(21)",word word word word tab 21 ,21,-1
"South Cockenzie Final Report 	(6)",word word word word tab 6 ,6,-1
"South Cockenzie Final Report 	(18)",word word word word tab 18 ,18,-1
"South Cockenzie Final Report 	(23)",word word word word tab 23 ,23,-1
"South Cockenzie Final Report 	(20)",word word word word tab 20 ,20,-1
"South Cockenzie Final Report 	(24)",word word word word tab 24 ,24,-1
"South Cockenzie Final Report 	(8)",word word word word tab 8 ,8,-1
2,2,2,-1
"South Cockenzie Final Report 	(19)",word word word word tab 19 ,19,-1
"South Cockenzie Final Report 	(2)",word word word word tab 2 ,2,-1
"South Cockenzie Final Report 	(16)",word word word word tab 16 ,16,-1
"CR 11052 	Page 4",word bigNum tab page 4 ,4,-1
"CR 11052 	Page 2",word bigNum tab page 2 ,2,-1
"CR 11052 	Page 3",word bigNum tab page 3 ,3,-1
"CR 10778 	Page 1",word bigNum tab page 1 ,1,-1
"CR 11052 	Page 1",word bigNum tab page 1 ,1,-1
"CR 11052 	Page 5",word bigNum tab page 5 ,5,-1
"CR 10911 	Page 1",word bigNum tab page 1 ,1,-1
"CR 10819 	Page 1",word bigNum tab page 1 ,1,-1
Page 1 of 1,page 1 word 1 ,1,-3
"CR 10778 	Page 3",word bigNum tab page 3 ,3,-1
"CR 10819 	Page 2",word bigNum tab page 2 ,2,-1
"CR 10778 	Page 2",word bigNum tab page 2 ,2,-1
"CR 10819 	Page 3",word bigNum tab page 3 ,3,-1
"CR 10819 	Page 4",word bigNum tab page 4 ,4,-1
"CR 10861 	Page 2",word bigNum tab page 2 ,2,-1
"CR 10778 	Page 4",word bigNum tab page 4 ,4,-1
"CR 10819 	Page 5",word bigNum tab page 5 ,5,-1
1,1,1,-1
2,2,1,-1
Page 6,page 6 ,6,-1
3,3,3,-1
Page 10,page 10 ,10,-1
Page 3,page 3 ,3,-1
Page 4,page 4 ,4,-1
Page 1,page 1 ,1,-1
Page 7,page 7 ,7,-1
5,5,5,-1
Page 2,page 2 ,2,-1
4,4,4,-1
"EPC1163 Tartarus 12 Monthly Report - Year 1 	2",mix word 12 word word word 1 tab 2 ,2,-1
"EPC1163 Tartarus 12 Monthly Report Year 1 	7",mix word 12 word word word 1 tab 7 ,7,-1
"EPC1163 Tartarus 12 Monthly Report Year 1 	8",mix word 12 word word word 1 tab 8 ,8,-1
"EPC1163 Tartarus 12 Monthly Report - Year 1 	4",mix word 12 word word word 1 tab 4 ,4,-1
"EPC1163 Tartarus 12 Monthly Report - Year 1 	3",mix word 12 word word word 1 tab 3 ,3,-1
"EPC1163 Tartarus 12 Monthly Report - Year 1 	9",mix word 12 word word word 1 tab 9 ,9,-1
"EPC1163 Tartarus 12 Monthly Report - Year 1 	6",mix word 12 word word word 1 tab 6 ,6,-1
"EPC1163 Tartarus 12 Monthly Report - Year 1 	10",mix word 12 word word word 1 tab 10 ,10,-1
"EPC1163 Tartarus 12 Monthly Report - Year 1 	5",mix word 12 word word word 1 tab 5 ,5,-1
"EPC1163 Tartarus 12 Monthly Report - Year 1 	1",mix word 12 word word word 1 tab 1 ,1,-1
"APRIL, 2009 	1",month bigNum tab 1 ,1,-1
"EPM 10628 	1 	September 1998",word bigNum tab 1 tab month bigNum ,1,-4
Page 16,page 16 ,16,-1
"C.R 7005 	Page 13",word word bigNum tab page 13 ,13,-1
"C.R. 7005 	Page 7",word word bigNum tab page 7 ,7,-1
"C.R 7005 	Page 14",word word bigNum tab page 14 ,14,-1
"C.R. 7005 	Page 9",word word bigNum tab page 9 ,9,-1
"C.R. 7005 	Page 3",word word bigNum tab page 3 ,3,-1
"EPMs 9348, 9913, 9914, 9941 & 10416 	16 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab 16 tab month bigNum ,16,-4
"EPMs 9348, 9913, 9914, 9941 & 10416 	15 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab 15 tab month bigNum ,15,-4
"EPMs 9348, 9913, 9914, 9941 & 10416 	14 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab 14 tab month bigNum ,14,-4
"EPMs 9348, 9913, 9914, 9941 & 10416 	12 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab 12 tab month bigNum ,12,-4
"CR 10352 - EPM 11217 South Palmer River 	1 	November 2001",word bigNum word bigNum word word word tab 1 tab month bigNum ,1,-4
"C.R. 7005 	Page 2",word word bigNum tab page 2 ,2,-1
"CR 10352 - EPM 11217 South Palmer River 	4 	November 2001",word bigNum word bigNum word word word tab 4 tab month bigNum ,4,-4
"Urandangi Project Annual Report 	3 	September 1998",word word word word tab 3 tab month bigNum ,3,-4
"EPM 9526 	1 	July 1994",word bigNum tab 1 tab month bigNum ,1,-4
"EPM 9526 	4 	July 1994",word bigNum tab 4 tab month bigNum ,4,-4
"C. R. 7005 	Page 15",word word bigNum tab page 15 ,15,-1
"EPM 9526 	7 	July 1994",word bigNum tab 7 tab month bigNum ,7,-4
"C.R. 7005 	Page 10",word word bigNum tab page 10 ,10,-1
"EPMs 9348, 9913, 9914, 9941 & 10416 	13 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab 13 tab month bigNum ,13,-4
"EPMs 9348, 9913, 9914, 9941 & 10416 	6 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab 6 tab month bigNum ,6,-4
"C.R. 7005 	Page 11",word word bigNum tab page 11 ,11,-1
"CR 10352 -- EPM 11217 South Palmer River 	3 	November 2001",word bigNum word bigNum word word word tab 3 tab month bigNum ,3,-4
"EPM 10628 	5 	September 1998",word bigNum tab 5 tab month bigNum ,5,-4
"EPM 9526 	6 	July 1994",word bigNum tab 6 tab month bigNum ,6,-4
"EPMs 9348, 9913, 9914, 9941 & 10416 	3 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab 3 tab month bigNum ,3,-4
"EPMs 9348, 9913, 9914, 9941 & 10416 	2 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab 2 tab month bigNum ,2,-4
"C.R. 7005 	Page 6",word word bigNum tab page 6 ,6,-1
"CR 10352 EPM 11217 South Palmer River 	2 	November 2001",word bigNum word bigNum word word word tab 2 tab month bigNum ,2,-4
"EPM 9526 	8 	July 1994",word bigNum tab 8 tab month bigNum ,8,-4
"EPMs 9348, 9913, 9914, 9941 & 10416 	4 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab 4 tab month bigNum ,4,-4
"EPMs 9348, 9913, 9914, 9941 & 10416 	11 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab 11 tab month bigNum ,11,-4
"EPMs 9348, 9913, 9914, 9941 & 10416 	1 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab 1 tab month bigNum ,1,-4
"EPM 10628 	4 	September 1998",word bigNum tab 4 tab month bigNum ,4,-4
"C.R. 7005 	Page 5",word word bigNum tab page 5 ,5,-1
"EPMs 9348, 9913, 9914, 9941 & 10416 	9 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab 9 tab month bigNum ,9,-4
"C.R 7005 	Page 1",word word bigNum tab page 1 ,1,-1
"EPM 10778 	3 	August 1996",word bigNum tab 3 tab month bigNum ,3,-4
"EPMs 9348, 9913, 9914, 9941 & 10416 	8 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab 8 tab month bigNum ,8,-4
"EPM 9526 	2 	July 1994",word bigNum tab 2 tab month bigNum ,2,-4
"EPMs 8662,8688, 8734 	11 	15 February 1996",word bigNum bigNum bigNum tab 11 tab 15 month bigNum ,11,-5
"EPM 9526 	5 	July 1994",word bigNum tab 5 tab month bigNum ,5,-4
"C.R. 7005 	Page 12",word word bigNum tab page 12 ,12,-1
"EPMs 9348, 9913, 9914, 9941 & 10416 	5 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab 5 tab month bigNum ,5,-4
"EPM 10628 	2 	September 1998",word bigNum tab 2 tab month bigNum ,2,-4
"EPM 9526 	3 	July 1994",word bigNum tab 3 tab month bigNum ,3,-4
"C. R 7005 	Page 4",word word bigNum tab page 4 ,4,-1
"EPM 10628 	3 	September 1998",word bigNum tab 3 tab month bigNum ,3,-4
"C.R 7005 	Page 8",word word bigNum tab page 8 ,8,-1
"EPMs 9348, 9913, 9914, 9941 & 10416 	10 	February 1995",word bigNum bigNum bigNum bigNum bigNum tab 10 tab month bigNum ,10,-4
"Urandangi Project Annual Report 	2 	September 1998",word word word word tab 2 tab month bigNum ,2,-4
"EPM 10778 	1 	August 1996",word bigNum tab 1 tab month bigNum ,1,-4
"EPM 10778 	2 	August 1996",word bigNum tab 2 tab month bigNum ,2,-4
"EPM 10777 	2 	April 1996",word bigNum tab 2 tab month bigNum ,2,-4
"EPMs 8913, 10435 Sandy Creek JV 	1 	November 1997",word bigNum bigNum word word word tab 1 tab month bigNum ,1,-4
"EPMs 8662,8688, 8734 	10 	15 February 1996",word bigNum bigNum bigNum tab 10 tab 15 month bigNum ,10,-4
"CR 10157 - EPM 7786 Longford 	10 	March 2001",word bigNum word bigNum word tab 10 tab month bigNum ,10,-4
"EPM 10777 	1 	April 1996",word bigNum tab 1 tab month bigNum ,1,-4
"CR 10157 - EPM 7786 Longford 	11 	March 2001",word bigNum word bigNum word tab 11 tab month bigNum ,11,-4
"EPMs 8662, 8688, 8734 	5 	15 February 1996",word bigNum bigNum bigNum tab 5 tab 15 month bigNum ,5,-5
"Police Creek Annual Report 	1 	June 1997",word word word word tab 1 tab month bigNum ,1,-4
"CR 10157 - EPM 7786 Longford 	1 	March 2001",word bigNum word bigNum word tab 1 tab month bigNum ,1,-4
"CR 10157 - EPM 7786 Longford 	6 	March 2001",word bigNum word bigNum word tab 6 tab month bigNum ,6,-4
"EPMs 8913, 10435 Sandy Creek JV 	2 	November 1997",word bigNum bigNum word word word tab 2 tab month bigNum ,2,-4
"EPM 9873 	3 	January 1995",word bigNum tab 3 tab month bigNum ,3,-4
"CR 10157 - EPM 7786 Longford 	7 	March 2001",word bigNum word bigNum word tab 7 tab month bigNum ,7,-4
"CR 10157 - EPM 7786 Longford 	3 	March 2001",word bigNum word bigNum word tab 3 tab month bigNum ,3,-4
"CR 10157 - EPM 7786 Longford 	12 	March 2001",word bigNum word bigNum word tab 12 tab month bigNum ,12,-4
"EPMs 8662,8688, 8734 	8 	15 February 1996",word bigNum bigNum bigNum tab 8 tab 15 month bigNum ,8,-5
"CR 10157 - EPM 7786 Longford 	2 	March 2001",word bigNum word bigNum word tab 2 tab month bigNum ,2,-4
"EPMs 8662, 8688, 8734 	2 	15 February 1996",word bigNum bigNum bigNum tab 2 tab 15 month bigNum ,2,-5
"EPMs 8662, 8688, 8734 	7 	15 February 1996",word bigNum bigNum bigNum tab 7 tab 15 month bigNum ,7,-5
"EPM 9873 	6 	January 1995",word bigNum tab 6 tab month bigNum ,6,-4
"EPM 8440 	4 	December 1995",word bigNum tab 4 tab month bigNum ,4,-4
"Urandangi Project Annual Report 	1 	September 1998",word word word word tab 1 tab month bigNum ,1,-4
"EPM 9873 	5 	January 1995",word bigNum tab 5 tab month bigNum ,5,-4
"CR 10157 - EPM 7786 Longford 	5 	March 2001",word bigNum word bigNum word tab 5 tab month bigNum ,5,-4
"EPM 9873 	4 	January 1995",word bigNum tab 4 tab month bigNum ,4,-4
"EPMs 8662, 8688, 8734 	1 	15 February 1996",word bigNum bigNum bigNum tab 1 tab 15 month bigNum ,1,-5
"EPM 9873 	2 	January 1995",word bigNum tab 2 tab month bigNum ,2,-4
"Police Creek Annual Report 	2 	June 1997",word word word word tab 2 tab month bigNum ,2,-4
"Jolimont Joint Venture 	3 	July 1999",word word word tab 3 tab month bigNum ,3,-4
"Police Creek Annual Report 	11 	June 1997",word word word word tab 11 tab month bigNum ,11,-4
"EPM 9335 	5 	June 1995",word bigNum tab 5 tab month bigNum ,5,-4
"Police Creek Annual Report 	5 	June 1997",word word word word tab 5 tab month bigNum ,5,-4
"EPM 9335 	6 	June 1995",word bigNum tab 6 tab month bigNum ,6,-4
"Jolimont Joint Venture 	2 	July 1999",word word word tab 2 tab month bigNum ,2,-4
"EPMs 8662, 8688, 8734 	6 	15 February 1996",word bigNum bigNum bigNum tab 6 tab 15 month bigNum ,6,-5
"EPM 8440 	3 	December 1995",word bigNum tab 3 tab month bigNum ,3,-4
"Police Creek Annual Report 	10 	June 1997",word word word word tab 10 tab month bigNum ,10,-4
"EPMs 8913, 10435 Sandy Creek JV 	4 	November 1997",word bigNum bigNum word word word tab 4 tab month bigNum ,4,-4
"EPM 9873 	1 	January 1995",word bigNum tab 1 tab month bigNum ,1,-4
"EPM 9335 	1 	June 1995",word bigNum tab 1 tab month bigNum ,1,-4
"EPM 9335 	2 	June 1995",word bigNum tab 2 tab month bigNum ,2,-4
"EPMs 8662, 8688, 8734 	4 	15 February 1996",word bigNum bigNum bigNum tab 4 tab 15 month bigNum ,4,-5
"Police Creek Annual Report 	3 	June 1997",word word word word tab 3 tab month bigNum ,3,-4
"Police Creek Annual Report 	4 	June 1997",word word word word tab 4 tab month bigNum ,4,-4
"EPMs 8662, 8688, 8734 	3 	15 February 1996",word bigNum bigNum bigNum tab 3 tab 15 month bigNum ,3,-5
"EPMs 8662,8688, 8734 	9 	15 February 1996",word bigNum bigNum bigNum tab 9 tab 15 month bigNum ,9,-5
"EPM 8440 	2 	December 1995",word bigNum tab 2 tab month bigNum ,2,-4
"EPM 7786 	2 	FEBRUARY 1993",word bigNum tab 2 tab month bigNum ,2,-4
"Cockenzie Project, Australia 	12/54",word word word tab 12 54 ,12,-2
"Cockenzie Project, Australia 	53/54",word word word tab 53 54 ,53,-2
"Cockenzie Project, Australia 	2/54",word word word tab 2 54 ,2,-2
"Cockenzie Project, Australia 	37/54",word word word tab 37 54 ,37,-2
"EPMs 8913, 10435 Sandy Creek JV 	3 	November 1997",word bigNum bigNum word word word tab 3 tab month bigNum ,3,-4
"Cockenzie Project, Australia 	28/54",word word word tab 28 54 ,28,-2
"Cockenzie Project, Australia 	7/54",word word word tab 7 54 ,7,-2
"EPMs 7668 and 7669 Alexandra 	1 	December 1997",word bigNum word bigNum word tab 1 tab month bigNum ,1,-4
"EPM 7786 	1 	FEBRUARY 1993",word bigNum tab 1 tab month bigNum ,1,-4
"Cockenzie Project, Australia 	54/54",word word word tab 54 54 ,54,-2
"Cockenzie Project, Australia 	21/54",word word word tab 21 54 ,21,-2
"Cockenzie Project, Australia 	11/54",word word word tab 11 54 ,11,-2
"EPMs 7668 and 7669 Alexandra 	3 	December 1997",word bigNum word bigNum word tab 3 tab month bigNum ,3,-4
"Cockenzie Project, Australia 	3/54",word word word tab 3 54 ,3,-2
"Cockenzie Project, Australia 	6/54",word word word tab 6 54 ,6,-2
"Cockenzie Project, Australia 	5/54",word word word tab 5 54 ,5,-2
"EPM 8440 	1 	December 1995",word bigNum tab 1 tab month bigNum ,1,-4
"Lightning Creek/Buster Creek Venture 	4 	March 1997",word word word word word tab 4 tab month bigNum ,4,-4
"EPMs 7668 and 7669 Alexandra 	2 	December 1997",word bigNum word bigNum word tab 2 tab month bigNum ,2,-4
"Cockenzie Project, Australia 	4/54",word word word tab 4 54 ,4,-2
"Cockenzie Project, Australia 	42/54",word word word tab 42 54 ,42,-2
"Cockenzie Project, Australia 	35/54",word word word tab 35 54 ,35,-2
"Lightning Creek/Buster Creek Venture 	2 	March 1997",word word word word word tab 2 tab month bigNum ,2,-4
"Cockenzie Project, Australia 	8/54",word word word tab 8 54 ,8,-2
"Cockenzie Project, Australia 	9/54",word word word tab 9 54 ,9,-2
"Cockenzie Project, Australia 	24/54",word word word tab 24 54 ,24,-2
"Cockenzie Project, Australia 	25/54",word word word tab 25 54 ,25,-2
"EPM 9216 	1 	February 1995",word bigNum tab 1 tab month bigNum ,1,-4
"Cockenzie Project, Australia 	50/54",word word word tab 50 54 ,50,-2
"Cockenzie Project, Australia 	32/54",word word word tab 32 54 ,32,-2
"Cockenzie Project, Australia 	46/54",word word word tab 46 54 ,46,-2
"Cockenzie Project, Australia 	48/54",word word word tab 48 54 ,48,-2
"Cockenzie Project, Australia 	31/54",word word word tab 31 54 ,31,-2
"Cockenzie Project, Australia 	43/54",word word word tab 43 54 ,43,-2
"Cockenzie Project, Australia 	51/54",word word word tab 51 54 ,51,-2
"Cockenzie Project, Australia 	52/54",word word word tab 52 54 ,52,-2
"Cockenzie Project, Australia 	36/54",word word word tab 36 54 ,36,-2
"Cockenzie Project, Australia 	22/54",word word word tab 22 54 ,22,-2
"Cockenzie Project, Australia 	29/54",word word word tab 29 54 ,29,-2
"Cockenzie Project, Australia 	47/54",word word word tab 47 54 ,47,-2
"Cockenzie Project, Australia 	44/54",word word word tab 44 54 ,44,-2
"Cockenzie Project, Australia 	26/54",word word word tab 26 54 ,26,-2
"Cockenzie Project, Australia 	18/54",word word word tab 18 54 ,18,-2
"Cockenzie Project, Australia 	27/54",word word word tab 27 54 ,27,-2
"Cockenzie Project, Australia 	33/54",word word word tab 33 54 ,33,-2
"Cockenzie Project, Australia 	34/54",word word word tab 34 54 ,34,-2
"Cockenzie Project, Australia 	13/54",word word word tab 13 54 ,13,-2
"Cockenzie Project, Australia 	23/54",word word word tab 23 54 ,23,-2
"Cockenzie Project, Australia 	19/54",word word word tab 19 54 ,19,-2
"Cockenzie Project, Australia 	38/54",word word word tab 38 54 ,38,-2
"Cockenzie Project, Australia 	20/54",word word word tab 20 54 ,20,-2
"Cockenzie Project, Australia 	30/54",word word word tab 30 54 ,30,-2
"Cockenzie Project, Australia 	16/54",word word word tab 16 54 ,16,-2
"Cockenzie Project, Australia 	10/54",word word word tab 10 54 ,10,-2
"Cockenzie Project, Australia 	39/54",word word word tab 39 54 ,39,-2
"Cockenzie Project, Australia 	49/54",word word word tab 49 54 ,49,-2
"EPM 9216 	2 	February 1995",word bigNum tab 2 tab month bigNum ,2,-4
"Cockenzie Project, Australia 	14/54",word word word tab 14 54 ,14,-2
"Cockenzie Project, Australia 	17/54",word word word tab 17 54 ,17,-2
"Cockenzie Project, Australia 	15/54",word word word tab 15 54 ,15,-2
"Cockenzie Project, Australia 	41/54",word word word tab 41 54 ,41,-2
"Cockenzie Project, Australia 	40/54",word word word tab 40 54 ,40,-2
"Cockenzie Project, Australia 	45/54",word word word tab 45 54 ,45,-2
"EPM 10732 - Partial Relinquishment Report 	3 	October 1999",word bigNum word word word tab 3 tab month bigNum ,3,-4
"EPM 10732 - Partial Relinquishment Report 	2 	October 1999",word bigNum word word word tab 2 tab month bigNum ,2,-4
"Lightning Creek/Buster Creek Venture 	3 	March 1997",word word word word word tab 3 tab month bigNum ,3,-4
"EPM 9216 	3 	February 1995",word bigNum tab 3 tab month bigNum ,3,-4
"CR 10157 - EPM 7786 Longford 	4 	March 2001",word bigNum word bigNum word tab 4 tab month bigNum ,4,-4
"Police Creek Annual Report 	6",word word word word tab 6 ,6,-1
"EPM 9750 	4 	January 1995",word bigNum tab 4 tab month bigNum ,4,-4
"EPM 9750 	2 	January 1995",word bigNum tab 2 tab month bigNum ,2,-4
"EPM 9750 	3 	January 1995",word bigNum tab 3 tab month bigNum ,3,-4
